leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SRFC,1,0,1,0,1,1,0
2,SB29,2,0,2,0,2,2,0
3,SDR,3,0,3,0,4,4,0
4,FCN,4,1,1,2,3,3,0
5,LOSC,5,1,2,2,7,11,-4
6,RCSA,7,2,1,3,10,11,-1
7,SRFC,8,2,2,3,9,8,1
8,RCSA,10,3,1,4,12,13,-1
9,RCSA,11,3,2,4,13,14,-1
10,FCL,14,3,5,2,11,13,-2
11,RCSA,14,4,2,5,18,16,2
12,LOSC,15,4,3,5,15,18,-3
13,LOSC,16,4,4,5,16,19,-3
14,LOSC,17,4,5,5,18,21,-3
15,SB29,18,4,6,5,22,22,0
16,LOSC,21,5,6,5,21,23,-2
17,LOSC,24,6,6,5,23,24,-1
18,LOSC,25,6,7,5,23,24,-1
19,SCO,25,6,7,6,26,27,-1
20,SCO,25,6,7,7,26,28,-2
21,SCO,26,6,8,7,26,28,-2
22,SCO,29,7,8,7,28,29,-1
23,SCO,29,7,8,8,30,34,-4
24,SB29,31,8,7,9,33,36,-3
25,SB29,32,8,8,9,34,37,-3
26,SB29,32,8,8,10,34,38,-4
27,SB29,35,9,8,10,35,38,-3
28,SDR,35,8,11,9,32,31,1
29,SDR,36,8,12,9,32,31,1
30,SB29,38,10,8,12,38,44,-6
31,SB29,39,10,9,12,39,45,-6
32,SB29,39,10,9,13,40,47,-7
33,SB29,42,11,9,13,42,48,-6
